Bus,busmap
1282,AL1 0
1286,AL1 0
2194,AL1 0
2153,AL1 0
2154,AL1 0
2155,AL1 0
2185,AL1 0
2186,AL1 0
2190,AL1 0
2193,AL1 0
2195,AL1 0
2197,AL1 0
2198,AL1 0
2200,AL1 0
8311,AL1 0
7801,AL1 0
8793,AL1 0
8430,AL1 0
8714,AL1 0
3274,AT1 0
3387,AT1 0
3399,AT1 0
3401,AT1 0
3405,AT1 0
3408,AT1 0
3435,AT1 0
3456,AT1 0
3458,AT1 0
3461,AT1 0
3463,AT1 0
3464,AT1 0
3465,AT1 0
3466,AT1 0
3468,AT1 0
3471,AT1 0
3474,AT1 0
3476,AT1 0
3477,AT1 0
3478,AT1 0
3479,AT1 0
3480,AT1 0
3483,AT1 0
3786,AT1 0
3787,AT1 0
3791,AT1 0
3811,AT1 0
3813,AT1 0
8243,AT1 0
7758,AT1 0
8552,AT1 0
8148,AT1 0
8598,AT1 0
8763,AT1 0
8736,AT1 0
8577,AT1 0
8398,AT1 0
7757,AT1 0
8510,AT1 0
2087,BA1 0
2089,BA1 0
2090,BA1 0
2095,BA1 0
2096,BA1 0
2097,BA1 0
2098,BA1 0
2099,BA1 0
2100,BA1 0
2102,BA1 0
2104,BA1 0
2105,BA1 0
2108,BA1 0
2110,BA1 0
2111,BA1 0
2118,BA1 0
2122,BA1 0
2140,BA1 0
2272,BA1 0
7201,BA1 0
7200,BA1 0
8522,BA1 0
7421,BE1 0
7422,BE1 0
4686,BE1 0
4781,BE1 0
4783,BE1 0
4784,BE1 0
4785,BE1 0
4786,BE1 0
4788,BE1 0
4790,BE1 0
4801,BE1 0
4803,BE1 0
5065,BE1 0
5066,BE1 0
5069,BE1 0
5070,BE1 0
5071,BE1 0
5073,BE1 0
5075,BE1 0
5081,BE1 0
5082,BE1 0
5084,BE1 0
5085,BE1 0
5096,BE1 0
5097,BE1 0
5098,BE1 0
5099,BE1 0
5100,BE1 0
5102,BE1 0
5107,BE1 0
5108,BE1 0
5153,BE1 0
5164,BE1 0
5165,BE1 0
5166,BE1 0
5168,BE1 0
5169,BE1 0
7467,BE1 0
8710,BE1 0
8632,BE1 0
7953,BE1 0
7323,BE1 0
8149,BE1 0
7952,BE1 0
8295,BE1 0
1992,BG1 0
1994,BG1 0
2006,BG1 0
2008,BG1 0
2010,BG1 0
2012,BG1 0
2013,BG1 0
2014,BG1 0
2015,BG1 0
2016,BG1 0
2018,BG1 0
2020,BG1 0
2021,BG1 0
2022,BG1 0
2027,BG1 0
2028,BG1 0
2031,BG1 0
2033,BG1 0
2052,BG1 0
2059,BG1 0
2061,BG1 0
2063,BG1 0
2065,BG1 0
2069,BG1 0
2072,BG1 0
2076,BG1 0
7098,BG1 0
7036,BG1 0
8505,BG1 0
8698,BG1 0
7097,BG1 0
7759,BG1 0
3586,CH1 0
3589,CH1 0
3590,CH1 0
3591,CH1 0
3594,CH1 0
